epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3825,0.70341,1.22893,1.39089,0.41914,0.60891,0.4498,0.30008,0.42443,10.14,0.80189,0.0001,0.0001,0.0001
2,141.389,0.598,1.01409,1.26593,0.70727,0.81683,0.83797,0.68492,0.32638,2.61719,0.68466,9.7525e-05,9.7525e-05,9.7525e-05
3,200.116,0.57441,0.97863,1.22762,0.63283,0.73267,0.72521,0.56815,0.34629,4.64532,0.71151,9.505e-05,9.505e-05,9.505e-05
4,257.822,0.51953,0.92842,1.183,0.30874,0.48423,0.32728,0.21143,0.43344,3.39604,0.78919,9.2575e-05,9.2575e-05,9.2575e-05
5,315.536,0.53459,0.94691,1.18556,0.69753,0.81059,0.84782,0.70854,0.31435,1.76562,0.67427,9.01e-05,9.01e-05,9.01e-05
6,374.364,0.51454,0.95304,1.15161,0.51987,0.63861,0.5569,0.40085,0.3807,6.24277,0.75456,8.7625e-05,8.7625e-05,8.7625e-05
7,432.076,0.50291,0.95123,1.1241,0.43531,0.60891,0.46619,0.31714,0.38962,3.5957,0.7334,8.515e-05,8.515e-05,8.515e-05
8,489.909,0.48234,0.8876,1.11234,0.39307,0.61386,0.4529,0.30559,0.37954,7.03938,0.7533,8.2675e-05,8.2675e-05,8.2675e-05
9,547.716,0.48245,0.85007,1.10406,0.76115,0.83611,0.87411,0.75096,0.28373,3.10296,0.62299,8.02e-05,8.02e-05,8.02e-05
10,606.447,0.45598,0.85461,1.07538,0.28575,0.4901,0.29219,0.18258,0.42272,2.67589,0.78901,7.7725e-05,7.7725e-05,7.7725e-05
11,664.302,0.45539,0.90021,1.07729,0.56147,0.71624,0.6522,0.48874,0.36048,5.99068,0.70992,7.525e-05,7.525e-05,7.525e-05
12,722.086,0.46864,0.90097,1.07615,0.75022,0.84754,0.86067,0.74027,0.28073,3.1416,0.61932,7.2775e-05,7.2775e-05,7.2775e-05
13,779.933,0.42958,0.82366,1.04444,0.2212,0.57426,0.25589,0.15586,0.45423,2.55977,0.81728,7.03e-05,7.03e-05,7.03e-05
14,837.747,0.43456,0.84014,1.05618,0.77677,0.81683,0.88295,0.75911,0.27576,2.97757,0.61097,6.7825e-05,6.7825e-05,6.7825e-05
15,896.545,0.43041,0.77497,1.05752,0.76843,0.72283,0.80605,0.66379,0.3077,4.09878,0.65792,6.535e-05,6.535e-05,6.535e-05
16,954.241,0.41006,0.78917,1.01856,0.81981,0.81188,0.87657,0.77036,0.26986,3.36743,0.60069,6.2875e-05,6.2875e-05,6.2875e-05
17,1012.83,0.40443,0.81486,1.03656,0.77458,0.76549,0.84121,0.71349,0.29165,2.79164,0.63844,6.04e-05,6.04e-05,6.04e-05
18,1070.59,0.42577,0.76182,1.03137,0.75354,0.86634,0.88518,0.77396,0.26695,3.66999,0.60168,5.7925e-05,5.7925e-05,5.7925e-05
19,1129.24,0.40554,0.76846,1.0104,0.80408,0.83302,0.89118,0.78399,0.26554,2.80795,0.59699,5.545e-05,5.545e-05,5.545e-05
20,1187.79,0.40218,0.74946,1.01819,0.79355,0.84158,0.88243,0.7724,0.26262,3.09459,0.59934,5.2975e-05,5.2975e-05,5.2975e-05
21,1245.59,0.39403,0.80439,0.98698,0.40481,0.68317,0.50195,0.34944,0.37028,3.88899,0.72609,5.05e-05,5.05e-05,5.05e-05
22,1303.36,0.39672,0.78656,1.00761,0.83182,0.84158,0.89181,0.77698,0.26194,2.96423,0.59419,4.8025e-05,4.8025e-05,4.8025e-05
23,1361.11,0.38135,0.72912,0.98345,0.77934,0.85644,0.87961,0.77252,0.25646,3.88547,0.59281,4.555e-05,4.555e-05,4.555e-05
24,1419.05,0.38126,0.74363,0.99686,0.59033,0.75248,0.70982,0.56216,0.33112,6.28033,0.68635,4.3075e-05,4.3075e-05,4.3075e-05
