symbol,decision_i,decision_time,window_start_i,window_start_time,window_len,conf,x1n,y1n,x2n,y2n,core_start_i,core_end_i,core_mid_i,core_start_time,core_end_time,core_mid_time,predicted_core_bars,decision_delay_bars
0G_USDT_SWAP,396,2026-05-03T06:15:00+00:00,379,2026-05-03T02:00:00+00:00,18,0.2791402041912079,0.49288544058799744,0.4805399477481842,0.8336132764816284,0.5814167261123657,387,393,390.0,2026-05-03T04:00:00+00:00,2026-05-03T05:30:00+00:00,2026-05-03T04:45:00+00:00,7,3
0G_USDT_SWAP,396,2026-05-03T06:15:00+00:00,378,2026-05-03T01:45:00+00:00,19,0.3099302053451538,0.5170729160308838,0.4848841428756714,0.8444321751594543,0.5868368744850159,387,393,390.0,2026-05-03T04:00:00+00:00,2026-05-03T05:30:00+00:00,2026-05-03T04:45:00+00:00,7,3
0G_USDT_SWAP,397,2026-05-03T06:30:00+00:00,380,2026-05-03T02:15:00+00:00,18,0.3414302468299866,0.5016558170318604,0.47310590744018555,0.8353983759880066,0.5790421366691589,389,394,391.5,2026-05-03T04:30:00+00:00,2026-05-03T05:45:00+00:00,2026-05-03T05:15:00+00:00,6,3
0G_USDT_SWAP,397,2026-05-03T06:30:00+00:00,379,2026-05-03T02:00:00+00:00,19,0.291886568069458,0.43495050072669983,0.47572070360183716,0.7911266088485718,0.5799805521965027,387,393,390.0,2026-05-03T04:00:00+00:00,2026-05-03T05:30:00+00:00,2026-05-03T04:45:00+00:00,7,4
0G_USDT_SWAP,398,2026-05-03T06:45:00+00:00,381,2026-05-03T02:30:00+00:00,18,0.27408942580223083,0.49593424797058105,0.46460631489753723,0.8348053693771362,0.5805394053459167,389,395,392.0,2026-05-03T04:30:00+00:00,2026-05-03T06:00:00+00:00,2026-05-03T05:15:00+00:00,7,3
0G_USDT_SWAP,398,2026-05-03T06:45:00+00:00,380,2026-05-03T02:15:00+00:00,19,0.2576559782028198,0.5298188924789429,0.4708247482776642,0.8442462682723999,0.5805103182792664,390,395,392.5,2026-05-03T04:45:00+00:00,2026-05-03T06:00:00+00:00,2026-05-03T05:15:00+00:00,6,3
0G_USDT_SWAP,399,2026-05-03T07:00:00+00:00,382,2026-05-03T02:45:00+00:00,18,0.41432157158851624,0.49275264143943787,0.45549994707107544,0.8348897695541382,0.5812684297561646,390,396,393.0,2026-05-03T04:45:00+00:00,2026-05-03T06:15:00+00:00,2026-05-03T05:30:00+00:00,7,3
0G_USDT_SWAP,399,2026-05-03T07:00:00+00:00,381,2026-05-03T02:30:00+00:00,19,0.4111541509628296,0.5254480838775635,0.46437421441078186,0.8446364402770996,0.5822079181671143,390,396,393.0,2026-05-03T04:45:00+00:00,2026-05-03T06:15:00+00:00,2026-05-03T05:30:00+00:00,7,3
1INCH_USDT_SWAP,383,2026-05-03T03:00:00+00:00,366,2026-05-02T22:45:00+00:00,18,0.3916773200035095,0.48802995681762695,0.4846956133842468,0.8380391001701355,0.6675008535385132,374,380,377.0,2026-05-03T00:45:00+00:00,2026-05-03T02:15:00+00:00,2026-05-03T01:30:00+00:00,7,3
1INCH_USDT_SWAP,383,2026-05-03T03:00:00+00:00,365,2026-05-02T22:30:00+00:00,19,0.2953299283981323,0.5192728638648987,0.4830198585987091,0.8450299501419067,0.6679867506027222,374,380,377.0,2026-05-03T00:45:00+00:00,2026-05-03T02:15:00+00:00,2026-05-03T01:30:00+00:00,7,3
1INCH_USDT_SWAP,384,2026-05-03T03:15:00+00:00,367,2026-05-02T23:00:00+00:00,18,0.288033127784729,0.49234718084335327,0.515514075756073,0.8351273536682129,0.6516371369361877,375,381,378.0,2026-05-03T01:00:00+00:00,2026-05-03T02:30:00+00:00,2026-05-03T01:45:00+00:00,7,3
