symbol,decision_i,decision_time,window_start_i,window_start_time,window_len,conf,x1n,y1n,x2n,y2n,core_start_i,core_end_i,core_mid_i,core_start_time,core_end_time,core_mid_time,predicted_core_bars,decision_delay_bars,event_id,raw_detection_count,event_conf_max,event_decision_first,event_decision_last,window_lengths_seen
SHIB_USDT_SWAP,372,2026-05-03T00:15:00+00:00,357,2026-05-02T20:30:00+00:00,16,0.3635154664516449,0.4977303147315979,0.46199876070022583,0.8270405530929565,0.5198306441307068,364,369,366.5,2026-05-02T22:15:00+00:00,2026-05-02T23:30:00+00:00,2026-05-02T22:45:00+00:00,6,3,369a5a05fa963fd2,34,0.6013049483299255,2026-05-03T00:15:00+00:00,2026-05-03T01:15:00+00:00,"[14, 15, 16, 17, 18, 19]"
SKY_USDT_SWAP,372,2026-05-03T00:15:00+00:00,355,2026-05-02T20:00:00+00:00,18,0.39530616998672485,0.4600822925567627,0.44659486413002014,0.8251872062683105,0.5093808770179749,363,369,366.0,2026-05-02T22:00:00+00:00,2026-05-02T23:30:00+00:00,2026-05-02T22:45:00+00:00,7,3,8aba5bd65a115a76,31,0.6047405004501343,2026-05-03T00:15:00+00:00,2026-05-03T01:15:00+00:00,"[15, 16, 17, 18, 19]"
WIF_USDT_SWAP,372,2026-05-03T00:15:00+00:00,357,2026-05-02T20:30:00+00:00,16,0.25596821308135986,0.5002968311309814,0.4063243269920349,0.8213740587234497,0.5417230129241943,365,369,367.0,2026-05-02T22:30:00+00:00,2026-05-02T23:30:00+00:00,2026-05-02T23:00:00+00:00,5,3,cdb7a631b1138a09,31,0.5278600454330444,2026-05-03T00:15:00+00:00,2026-05-03T01:45:00+00:00,"[14, 15, 16, 17, 18, 19]"
XLM_USDT_SWAP,372,2026-05-03T00:15:00+00:00,357,2026-05-02T20:30:00+00:00,16,0.3486288785934448,0.49646368622779846,0.46624520421028137,0.8316590189933777,0.540104866027832,364,370,367.0,2026-05-02T22:15:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:00:00+00:00,7,2,3ec9fb2947c4efdc,42,0.5715315937995911,2026-05-03T00:15:00+00:00,2026-05-03T01:45:00+00:00,"[13, 14, 15, 16, 17, 18, 19]"
XTZ_USDT_SWAP,372,2026-05-03T00:15:00+00:00,355,2026-05-02T20:00:00+00:00,18,0.4026218354701996,0.4954744875431061,0.4270033836364746,0.8332427144050598,0.5220111608505249,363,369,366.0,2026-05-02T22:00:00+00:00,2026-05-02T23:30:00+00:00,2026-05-02T22:45:00+00:00,7,3,bdbffc836ab1d8e7,34,0.6444107294082642,2026-05-03T00:15:00+00:00,2026-05-03T01:15:00+00:00,"[14, 15, 16, 17, 18, 19]"
BNB_USDT_SWAP,373,2026-05-03T00:30:00+00:00,358,2026-05-02T20:45:00+00:00,16,0.3495447635650635,0.4984307885169983,0.48812681436538696,0.8261257410049438,0.5463875532150269,365,370,367.5,2026-05-02T22:30:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:15:00+00:00,6,3,215d5364558d8d28,17,0.4008711874485016,2026-05-03T00:30:00+00:00,2026-05-03T01:45:00+00:00,"[16, 17, 18, 19]"
DOGE_USDT_SWAP,373,2026-05-03T00:30:00+00:00,356,2026-05-02T20:15:00+00:00,18,0.46770036220550537,0.4821421205997467,0.41107693314552307,0.8349301218986511,0.538755476474762,364,370,367.0,2026-05-02T22:15:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:00:00+00:00,7,3,5198b7dfca8b792a,26,0.5317679047584534,2026-05-03T00:30:00+00:00,2026-05-03T01:30:00+00:00,"[14, 15, 16, 17, 18, 19]"
ENJ_USDT_SWAP,373,2026-05-03T00:30:00+00:00,355,2026-05-02T20:00:00+00:00,19,0.3261643946170807,0.4302329123020172,0.3270651400089264,0.7906709313392639,0.487562358379364,363,369,366.0,2026-05-02T22:00:00+00:00,2026-05-02T23:30:00+00:00,2026-05-02T22:45:00+00:00,7,4,3d92748cef308140,19,0.4237792193889618,2026-05-03T00:30:00+00:00,2026-05-03T01:30:00+00:00,"[15, 16, 17, 18, 19]"
GLM_USDT_SWAP,373,2026-05-03T00:30:00+00:00,359,2026-05-02T21:00:00+00:00,15,0.3871956765651703,0.4791596531867981,0.44412779808044434,0.8054108619689941,0.5486175417900085,366,370,368.0,2026-05-02T22:45:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:15:00+00:00,5,3,3cdeeea0badaa22b,7,0.3871956765651703,2026-05-03T00:30:00+00:00,2026-05-03T00:45:00+00:00,"[15, 16, 17, 18, 19]"
GMT_USDT_SWAP,373,2026-05-03T00:30:00+00:00,356,2026-05-02T20:15:00+00:00,18,0.42261481285095215,0.4921129643917084,0.44488003849983215,0.8330143094062805,0.5717921257019043,364,370,367.0,2026-05-02T22:15:00+00:00,2026-05-02T23:45:00+00:00,2026-05-02T23:00:00+00:00,7,3,65f80145d4b7f3ac,27,0.6076786518096924,2026-05-03T00:30:00+00:00,2026-05-03T01:30:00+00:00,"[14, 15, 16, 17, 18, 19]"
