epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1549,1.70694,14.2096,1.81236,0.33067,0.61143,0.31401,0.12783,1.06364,23.6873,1.18001,0.000664921,0.000664921,0.000664921
2,146.022,1.62701,1.82298,1.7193,0.20885,0.38614,0.16232,0.05953,1.57347,9.99879,1.27643,0.00129863,0.00129863,0.00129863
3,204.597,1.49602,1.66843,1.62707,0.40401,0.45976,0.4019,0.20967,0.96808,5.21027,0.99199,0.00189934,0.00189934,0.00189934
4,264.126,1.26571,1.5139,1.45465,0.72223,0.56436,0.68103,0.38483,0.83487,1.39232,0.80267,0.0018515,0.0018515,0.0018515
5,323.638,1.16886,1.41392,1.36236,0.72236,0.79703,0.8204,0.49955,0.70288,2.08165,0.73596,0.001802,0.001802,0.001802
6,382.931,1.01978,1.37902,1.27076,0.50142,0.87624,0.74024,0.46875,0.67388,1.42596,0.76082,0.0017525,0.0017525,0.0017525
7,440.944,0.92922,1.28852,1.19198,0.49558,0.55446,0.45022,0.28443,0.69913,2.12545,0.71129,0.001703,0.001703,0.001703
8,499.408,0.87712,1.21305,1.15221,0.49851,0.81691,0.6996,0.52213,0.47323,16.6345,0.58365,0.0016535,0.0016535,0.0016535
9,559.127,0.80023,1.16241,1.11172,0.69835,0.85149,0.7981,0.45088,0.61302,1.90173,0.71057,0.001604,0.001604,0.001604
10,617.458,0.70468,1.1863,1.02441,0.76829,0.83168,0.84386,0.6118,0.40062,2.14537,0.55182,0.0015545,0.0015545,0.0015545
11,676.919,0.68441,1.22593,1.03953,0.63004,0.68317,0.65803,0.40698,0.62841,7.03775,0.69696,0.001505,0.001505,0.001505
12,734.897,0.67285,1.23521,1.01135,0.78462,0.25248,0.22806,0.10275,0.73543,2.35518,0.74424,0.0014555,0.0014555,0.0014555
13,793.394,0.61117,1.19949,0.96208,0.50078,0.73762,0.61613,0.40951,0.61799,28.353,0.72701,0.001406,0.001406,0.001406
14,851.521,0.59572,1.08709,0.95671,0.41259,0.29208,0.21342,0.11095,0.78198,2.57459,0.72461,0.0013565,0.0013565,0.0013565
15,909.666,0.61357,1.04877,0.97215,0.67391,0.30693,0.26529,0.1583,0.61885,2.33071,0.65832,0.001307,0.001307,0.001307
16,967.716,0.57029,1.07352,0.93405,0.42056,0.44554,0.29535,0.18595,0.5963,2.27381,0.69383,0.0012575,0.0012575,0.0012575
17,1026.07,0.53277,1.10304,0.90651,0.84476,0.78713,0.86447,0.59152,0.45526,1.13592,0.62273,0.001208,0.001208,0.001208
18,1084.29,0.49877,1.03738,0.90257,0.48396,0.89604,0.70013,0.52074,0.44257,1.6601,0.58848,0.0011585,0.0011585,0.0011585
19,1142.65,0.48144,0.96794,0.89173,0.3249,0.82673,0.44767,0.24609,0.59539,1.90886,0.66919,0.001109,0.001109,0.001109
20,1200.93,0.48373,0.93032,0.90649,0.48846,0.62871,0.42662,0.23906,0.67428,2.11785,0.68966,0.0010595,0.0010595,0.0010595
