epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2376,1.52513,1.90088,2.2403,0.52476,0.69422,0.59411,0.28954,0.82387,1.9261,1.06597,0.0001,0.0001,0.0001
2,140.221,1.26602,1.66753,1.9303,0.52136,0.65786,0.57721,0.296,0.71481,2.99523,0.98134,9.7525e-05,9.7525e-05,9.7525e-05
3,198.911,1.11426,1.62398,1.76766,0.59563,0.64899,0.63437,0.33838,0.60172,1.57234,0.87855,9.505e-05,9.505e-05,9.505e-05
4,257.63,1.01162,1.55981,1.62731,0.47558,0.64851,0.55143,0.31003,0.57616,2.66622,0.85283,9.2575e-05,9.2575e-05,9.2575e-05
5,315.529,0.94835,1.52548,1.55916,0.463,0.70855,0.54107,0.33706,0.51524,1.53014,0.80771,9.01e-05,9.01e-05,9.01e-05
6,373.397,0.87165,1.50721,1.48347,0.44235,0.61386,0.53945,0.33169,0.52396,1.98515,0.79901,8.7625e-05,8.7625e-05,8.7625e-05
7,431.228,0.82806,1.49159,1.42664,0.43358,0.61386,0.49071,0.24653,0.58501,4.09964,0.85828,8.515e-05,8.515e-05,8.515e-05
8,488.952,0.79756,1.44366,1.38076,0.46062,0.70602,0.60827,0.37079,0.47122,1.22847,0.76948,8.2675e-05,8.2675e-05,8.2675e-05
9,547.686,0.76318,1.41676,1.35475,0.56019,0.66832,0.66274,0.39198,0.44875,1.94208,0.74141,8.02e-05,8.02e-05,8.02e-05
10,606.418,0.73016,1.40279,1.33825,0.55096,0.65347,0.63985,0.39789,0.43021,1.49953,0.72962,7.7725e-05,7.7725e-05,7.7725e-05
11,665.136,0.72041,1.40942,1.30204,0.54326,0.68317,0.65875,0.41329,0.43185,1.66782,0.71,7.525e-05,7.525e-05,7.525e-05
12,723.76,0.69243,1.3709,1.27659,0.53242,0.63861,0.63822,0.40116,0.43941,1.76268,0.71607,7.2775e-05,7.2775e-05,7.2775e-05
13,781.511,0.68814,1.3318,1.26596,0.49808,0.69802,0.59119,0.35866,0.46254,2.13435,0.73341,7.03e-05,7.03e-05,7.03e-05
14,839.317,0.66185,1.33809,1.24551,0.56008,0.71221,0.65535,0.42159,0.4188,1.74366,0.69854,6.7825e-05,6.7825e-05,6.7825e-05
15,898.055,0.67596,1.34041,1.26229,0.53956,0.77737,0.66356,0.44374,0.39615,1.57101,0.68591,6.535e-05,6.535e-05,6.535e-05
16,956.683,0.64671,1.31044,1.20277,0.54345,0.76017,0.66704,0.43498,0.39579,1.57477,0.67149,6.2875e-05,6.2875e-05,6.2875e-05
17,1014.46,0.62928,1.33865,1.18682,0.55317,0.75248,0.65756,0.42271,0.38497,1.44738,0.67034,6.04e-05,6.04e-05,6.04e-05
18,1072.16,0.63236,1.28165,1.21359,0.36425,0.4901,0.37507,0.22756,0.56314,1.37259,0.85939,5.7925e-05,5.7925e-05,5.7925e-05
19,1130,0.61571,1.25335,1.18949,0.53208,0.74257,0.64698,0.41828,0.39026,1.39173,0.67579,5.545e-05,5.545e-05,5.545e-05
20,1187.88,0.61629,1.27165,1.18937,0.53028,0.78218,0.64007,0.42608,0.38184,1.7637,0.66774,5.2975e-05,5.2975e-05,5.2975e-05
21,1245.66,0.5866,1.27256,1.14878,0.53605,0.74752,0.61972,0.41039,0.3806,1.74205,0.66509,5.05e-05,5.05e-05,5.05e-05
22,1303.54,0.58973,1.29538,1.16429,0.53886,0.76238,0.63883,0.42515,0.37238,1.56113,0.65255,4.8025e-05,4.8025e-05,4.8025e-05
23,1361.28,0.57557,1.2572,1.14939,0.563,0.73762,0.65776,0.43502,0.36176,1.52987,0.64685,4.555e-05,4.555e-05,4.555e-05
24,1419.11,0.57591,1.25825,1.14985,0.51982,0.73957,0.61275,0.40911,0.37672,1.99898,0.65757,4.3075e-05,4.3075e-05,4.3075e-05
25,1476.95,0.56493,1.27139,1.1378,0.43454,0.67822,0.50598,0.33526,0.39909,1.79199,0.68219,4.06e-05,4.06e-05,4.06e-05
